SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg
S26,2,1,Rainout,M,rain.M,5,1,RMBS2,1/6/22,0-15cm,0.079,92.7,20.9,39.8,60.8,1.45,0.168,14.5,1.7,6.16,1.52,17.1,9.7,12.6,171,1.5
S27,3,2,Control,D,cont.D,5,1,CDBS2,1/6/22,0-15cm,0.213,82.4,0.2,12.2,12.5,1.68,0.184,16.8,1.8,6.9,1.23,13.6,5.6,10.2,136,0.9
S28,4,2,Rainout,D,rain.D,5,1,RDBS2,1/6/22,0-15cm,0.088,91.9,0.1,9.7,9.7,1.74,0.19,17.4,1.9,6.7,1.57,12.9,8.3,13,129,1.3
S29,5,3,Control,K,cont.K,5,1,CKBS2,1/6/22,0-15cm,0.172,85.3,2.1,9.1,11.2,1.38,0.154,13.8,1.5,6.15,0.87,10.9,7.9,7.2,109,1.2
S30,6,3,Rainout,K,rain.K,5,1,RKBS2,1/6/22,0-15cm,0.075,93,16.5,28.4,44.9,1.51,0.173,15.1,1.7,6.31,2.75,11.8,16.7,22.8,118,2.6
S31,7,4,Control,K,cont.K,6,2,CKBS2,1/6/22,0-15cm,0.218,82.1,1.6,10.9,12.5,1.57,0.17,15.7,1.7,6.19,0.74,10.8,8.7,6.1,108,1.3
S32,8,4,Rainout,K,rain.K,6,2,RKBS2,1/6/22,0-15cm,0.066,93.8,28.7,62.1,90.8,1.48,0.175,14.8,1.8,6.18,1.8,12.5,8.8,14.9,125,1.4
S33,9,5,Control,M,cont.M,6,2,CMBS2,1/6/22,0-15cm,0.184,84.4,4.8,7.6,12.5,1.18,0.131,11.8,1.3,6.08,0.45,14.9,4,3.7,149,0.6
S34,10,5,Rainout,M,rain.M,6,2,RMBS2,1/6/22,0-15cm,0.066,93.8,32.5,63,95.5,1.28,0.154,12.8,1.5,6.03,2.04,16.4,8.5,16.9,164,1.3
S35,11,6,Control,D,cont.D,6,2,CDBS2,1/6/22,0-15cm,0.179,84.8,0.1,12.1,12.2,1.57,0.175,15.7,1.8,6.69,1.29,12.8,8.1,10.7,128,1.3
S36,12,6,Rainout,D,rain.D,6,2,RDBS2,1/6/22,0-15cm,0.089,91.8,0.1,7.2,7.3,1.64,0.181,16.4,1.8,6.76,1.52,13.7,7,12.6,137,1.1
S37,13,7,Control,D,cont.D,7,3,CDBS2,1/6/22,0-15cm,0.191,84,0.2,11.3,11.6,1.59,0.175,15.9,1.8,6.76,1.63,13.7,8.8,13.5,137,1.4
S38,14,7,Rainout,D,rain.D,7,3,RDBS2,1/6/22,0-15cm,0.095,91.4,0.2,9.6,9.8,1.75,0.194,17.5,1.9,6.74,1.14,14.6,7.2,9.5,146,1.1
S39,15,8,Control,M,cont.M,7,3,CMBS2,1/6/22,0-15cm,0.208,82.7,2.6,3.1,5.8,1.27,0.142,12.7,1.4,5.82,0.71,14.6,4.6,5.9,146,0.7
S40,16,8,Rainout,M,rain.M,7,3,RMBS2,1/6/22,0-15cm,0.082,92.4,7.5,15.2,22.8,1.15,0.133,11.5,1.3,5.68,1.11,14.3,5.5,9.2,143,0.9
S41,17,9,Control,K,cont.K,7,3,CKBS2,1/6/22,0-15cm,0.185,84.4,3.4,7.1,10.5,1.42,0.39,14.2,3.9,6.16,1.06,12.6,7.9,8.8,126,1.2
S42,18,9,Rainout,K,rain.K,7,3,RKBS2,1/6/22,0-15cm,0.078,92.8,15.1,27,42.1,1.47,0.167,14.7,1.7,6.17,1.27,12.3,8.3,10.5,123,1.3
S43,19,10,Control,K,cont.K,8,4,CKBS2,1/6/22,0-15cm,0.191,83.9,3.3,5.4,8.7,1.42,0.158,14.2,1.6,6.18,0.77,11.2,9.4,6.4,112,1.5
S44,20,10,Rainout,K,rain.K,8,4,RKBS2,1/6/22,0-15cm,0.073,93.2,19.7,39.2,58.9,1.36,0.157,13.6,1.6,6.31,1.7,11.5,10.1,14.1,115,1.6
S45,21,11,Control,D,cont.D,8,4,CDBS2,1/6/22,0-15cm,0.211,82.6,0.2,13.3,13.5,1.86,0.209,18.6,2.1,6.8,0.83,17,4.1,6.9,170,0.6
S46,22,11,Rainout,D,rain.D,8,4,RDBS2,1/6/22,0-15cm,0.121,89.2,0.7,11.5,12.2,2.2,0.246,22,2.5,6.61,1.15,17.3,7.3,9.5,173,1.1
S47,23,12,Control,M,cont.M,8,4,CMBS2,1/6/22,0-15cm,0.098,91.1,2.8,7.8,10.6,1.75,0.201,17.5,2,6.11,0.64,18.7,6.4,5.3,187,1
S48,24,12,Rainout,M,rain.M,8,4,RMBS2,1/6/22,0-15cm,0.108,90.2,21,61.5,82.5,1.76,0.215,17.6,2.2,6.28,1.74,19.5,7.2,14.4,195,1.1
S49,1,1,Control,M,cont.M,9,1,CMBS3,5/7/22,0-15cm,0.263,79.2,0.4,8.1,8.5,1.42,0.158,14.2,1.6,6.53,1.16,14.9,5.4,9.6,149,0.8
S50,2,1,Rainout,M,rain.M,9,1,RMBS3,5/7/22,0-15cm,0.054,94.9,7.1,14.2,21.3,1.47,0.163,14.7,1.6,6.11,1.25,16.1,10.6,10.4,161,1.6
