"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","AOA_Richness","AOA_Shannon","AOA_InvSimpson"
"S35",0.179,84.8,0.1,12.1,12.2,1.57,0.175,6.69,10.7,128,1.3,81,3.74785201887153,27.6338179778918
"S36",0.089,91.8,0.1,7.2,7.3,1.64,0.181,6.76,12.6,137,1.1,117,4.22266339372989,49.868653594061
"S37",0.191,84,0.2,11.3,11.6,1.59,0.175,6.76,13.5,137,1.4,91,3.84407376166987,29.8296138298088
"S38",0.095,91.4,0.2,9.6,9.8,1.75,0.194,6.74,9.5,146,1.1,97,3.85506788289711,29.562853323455
"S39",0.208,82.7,2.6,3.1,5.8,1.27,0.142,5.82,5.9,146,0.7,55,2.57886901772514,5.65212189982918
"S40",0.082,92.4,7.5,15.2,22.8,1.15,0.133,5.68,9.2,143,0.9,67,2.78831340977419,7.84381830652174
"S41",0.185,84.4,3.4,7.1,10.5,1.42,0.39,6.16,8.8,126,1.2,57,2.90326636757206,9.79465424410756
"S42",0.078,92.8,15.1,27,42.1,1.47,0.167,6.17,10.5,123,1.3,55,2.85126471293853,9.81424072460126
"S43",0.191,83.9,3.3,5.4,8.7,1.42,0.158,6.18,6.4,112,1.5,90,3.90881874560336,33.6294314871475
"S44",0.073,93.2,19.7,39.2,58.9,1.36,0.157,6.31,14.1,115,1.6,90,3.46901300729314,13.7077394710409
"S45",0.211,82.6,0.2,13.3,13.5,1.86,0.209,6.8,6.9,170,0.6,84,3.87291439997607,32.6091448113522
"S46",0.121,89.2,0.7,11.5,12.2,2.2,0.246,6.61,9.5,173,1.1,86,3.93101102153056,35.2208923577298
"S47",0.098,91.1,2.8,7.8,10.6,1.75,0.201,6.11,5.3,187,1,78,3.52790522191041,20.4826603060356
"S48",0.108,90.2,21,61.5,82.5,1.76,0.215,6.28,14.4,195,1.1,112,4.15694650194328,44.3152843752075
"S49",0.263,79.2,0.4,8.1,8.5,1.42,0.158,6.53,9.6,149,0.8,99,4.0779471251418,43.662244212254
"S50",0.054,94.9,7.1,14.2,21.3,1.47,0.163,6.11,10.4,161,1.6,84,3.61753841226755,19.7114790364021
"S51",0.272,78.6,0.2,15.7,15.8,1.74,0.19,7.07,18,152,1.2,90,3.99076372317393,39.490068469205
"S52",0.063,94.1,1.8,7.8,9.6,1.76,0.191,6.8,16.2,127,1.5,26,2.84876903584946,13.3974278498752
"S53",0.277,78.3,1.5,8.7,10.2,1.41,0.157,6.04,8.5,107,1.4,64,3.13451655052311,12.7034071326242
"S54",0.062,94.2,13.5,30.5,44,1.45,0.167,6.24,12.9,120,1.1,76,3.41096218841833,15.5743279934836
"S55",0.276,78.4,1,8.1,9.1,1.48,0.165,6.19,7.6,109,1,66,3.10515848464819,10.9352977447596
"S56",0.047,95.5,11.8,23.5,35.3,1.51,0.168,6.26,16.8,136,1.6,60,2.87143179194362,7.76675958003861
"S57",0.253,79.8,1.6,5.1,6.7,1.23,0.134,6.08,5.2,155,0.8,56,2.86705607663663,9.8940429121624
"S58",0.056,94.7,5.1,13.3,18.4,1.17,0.133,6.12,6.4,146,0.9,69,3.06243473089566,11.0778515753485
"S59",0.262,79.2,0.1,13.1,13.1,1.63,0.179,6.76,13,130,1.1,92,3.83585587194927,31.0254555288868
"S60",0.063,94.1,0.7,3.5,4.2,1.63,0.182,6.88,12.9,126,1.1,119,4.22428847083232,50.4525820305789
"S61",0.287,77.7,0.1,12.9,12.9,1.65,0.186,6.75,9,123,0.7,87,3.93915733050363,35.8671441063394
"S62",0.087,92,0.3,8.7,9,1.72,0.193,6.74,8.7,133,1.1,87,3.82283036200373,28.9006050061603
"S63",0.294,77.3,1.8,4.2,6,1.26,0.14,5.88,8.5,147,0.7,56,2.87293234564279,7.95674682173886
"S64",0.076,93,4.2,9.1,13.3,1.21,0.139,5.74,6.6,153,0.6,59,2.85682807111672,7.75955265413447
"S65",0.278,78.2,1.5,12.2,13.7,1.37,0.155,6.04,12.3,118,1.2,55,2.81896348595986,9.30953280602942
"S66",0.084,92.3,6.4,17.6,24,1.45,0.165,6.03,12.3,114,1.9,46,2.77028070505395,9.07469888452863
"S67",0.259,79.4,0.6,10,10.5,1.46,0.163,6.24,8,110,1.2,94,3.92775696608487,33.3582251623133
"S68",0.055,94.8,8.8,12.4,21.2,1.35,0.153,6.2,10,110,1.3,76,3.4081112743141,13.9211500795401
"S69",0.294,77.3,0.1,18,18,1.89,0.215,6.77,8.1,179,0.8,82,3.80315210967669,30.9287411326604
"S70",0.105,90.5,0,11.5,11.5,2.11,0.242,6.74,8.5,183,1.1,80,3.82588748193071,31.3099130909432
"S71",0.296,77.1,0.5,8.6,9,1.69,0.199,6.05,4.9,198,0.9,74,3.58533868115598,22.5774978782027
"S72",0.091,91.7,10.3,31.8,42,1.79,0.212,6.2,8.1,193,1.2,103,4.0738506477364,41.9494123629466
"S73",0.237,80.8,0.1,14,14.1,1.46,0.163,6.71,9.2,156,1,86,3.96126249628495,38.9876326870895
"S74",0.174,85.2,18.2,58.7,76.9,1.42,0.17,6.19,21.2,170,1.6,96,3.72128047008559,22.0717154469589
"S75",0.255,79.7,0.1,16.4,16.4,1.65,0.185,6.96,12.6,136,0.9,90,4.03287259632772,43.372077362035
"S76",0.192,83.9,0,25.8,25.8,1.71,0.187,6.88,17.2,132,1.3,104,3.98671328089827,36.4262530945967
"S77",0.262,79.2,0.5,15.5,15.9,1.45,0.164,6.19,10.6,116,1.5,61,2.98589282784455,10.6314048820891
"S78",0.161,86.2,13.4,57.9,71.2,1.49,0.177,6.17,13.9,118,1,80,3.50406232902651,17.8586314591218
"S79",0.243,80.4,0.6,12.9,13.6,1.41,0.161,6.17,7.6,110,1.1,73,3.19043626907992,12.0255641708515
"S80",0.167,85.7,16.9,55.7,72.6,1.53,0.173,6.08,14.9,124,1.4,61,2.97972696328063,9.58190037690147
"S81",0.286,77.8,0.9,8,8.9,1.11,0.128,5.9,4.7,147,0.5,62,2.87262683802708,9.56712981362494
"S82",0.162,86.1,10.9,42,52.9,1.24,0.145,5.92,10.5,157,1.3,56,2.88883468424924,9.95566258656155
"S83",0.266,79,0,17.7,17.7,1.58,0.179,6.88,20.2,131,1.6,84,3.7713626437341,28.1054992841667
"S84",0.184,84.5,0,26,26,1.64,0.185,6.95,22.4,132,1.5,108,4.14696250706993,47.6543908612968
"S85",0.281,78.1,0.6,26,26.5,1.77,0.201,6.76,17.8,142,1.5,93,3.9540152806268,37.0562952345382
"S86",0.175,85.1,0.4,25.2,25.6,1.83,0.205,6.88,16.1,149,1.4,80,3.85003044998602,31.9562664577485
"S87",0.212,82.5,3.7,9.1,12.8,1.21,0.14,5.82,7.5,142,0.7,45,2.82257763387119,8.15826481176941
"S88",0.155,86.6,21,46.1,67.2,1.2,0.145,5.58,14.5,142,0.8,39,2.69431323546568,8.25247559251241
"S89",0.248,80.1,3,14.4,17.5,1.42,0.161,6.01,10.8,124,1,44,2.86600612293041,10.0845845014031
"S90",0.156,86.5,16.2,40.5,56.6,1.37,0.164,5.87,10.8,118,1.3,41,2.78321986550102,9.82754803605967
"S91",0.239,80.7,1.3,12.4,13.8,1.44,0.163,6.28,8.1,109,1,87,3.80464638278626,27.4918540430232
"S92",0.159,86.3,12.7,38.7,51.4,1.34,0.158,6.19,10.7,110,1,73,3.41178936527291,13.7712971681303
"S93",0.29,77.5,0.3,19.3,19.6,1.91,0.216,6.75,8.2,164,1.3,75,3.74987912911026,30.594172944863
"S94",0.195,83.7,0,25.9,25.9,2.17,0.249,6.69,8.5,173,0.7,55,3.66875536863589,30.7337647659631
"S95",0.254,79.7,0.8,9,9.8,1.72,0.202,5.99,4.9,195,1.2,70,3.49311216160539,20.501019171595
