,nr,plot,block,irrigation,fertilization,type,rep,sampling.date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil,AOA_logDWS,AOB_logDWS,ComA_logDWS,ComB_logDWS,Tot_logDWS,AOA_16.arc.ratio,AOB_16.arc.ratio,ComA_16.arc.ratio,ComB_16.arc.ratio,AOA_AOB.arc.ratio,ComA_ComB.arc.ratio
S38,38,14,7,rainout,D,BS,3,Jun 1st,rain.D,RDBS2,14200,2.40E+08,4.36,5860,99500000,1.81,2.41,241.4501616,1700,28800000,0.523,319,5410000,0.098,5.32,531.676352,325000,5.50E+09,8.380211242,7.997823081,7.459392488,6.733197265,9.740362689,0.210354021,0.134945433,0.072381926,0.031310067,0.155872162,0.232746928
S39,39,15,8,control,M,BS,3,Jun 1st,cont.M,CMBS2,8010,1.37E+08,3.26,6830,1.16E+08,2.78,1.17,117.352418,1530,26100000,0.624,171,2910000,0.07,8.96,896.3455657,246000,4.19E+09,8.136720567,8.064457989,7.416640507,6.463892989,9.622214023,0.181550392,0.167515678,0.079076056,0.026460601,0.108378581,0.303993096
S40,40,16,8,rainout,M,BS,3,Jun 1st,rain.M,RMBS2,10800,1.03E+08,2.95,6860,66100000,1.89,1.57,156.632072,2070,19900000,0.567,207,1990000,0.057,9.97,997.0756361,364000,3.50E+09,8.012837225,7.820201459,7.298853076,6.298853076,9.544068044,0.172611517,0.137914049,0.075370742,0.023876941,0.125629847,0.321250221
S41,41,17,9,control,K,BS,3,Jun 1st,cont.K,CKBS2,11600,2.11E+08,3.17,9090,1.66E+08,2.49,1.27,127.4310635,2110,38500000,0.578,351,6400000,0.096,6.02,602.1632258,366000,6.67E+09,8.324282455,8.220108088,7.58546073,6.806179974,9.824125834,0.178999286,0.158459646,0.076099741,0.030988826,0.112934187,0.247887811
S42,42,18,9,rainout,K,BS,3,Jun 1st,rain.K,RKBS2,11300,2.02E+08,4.07,6850,1.22E+08,2.47,1.65,164.7608628,1360,24300000,0.49,161,2870000,0.058,8.46,845.8594512,277000,4.96E+09,8.305351369,8.086359831,7.385606274,6.457881897,9.695481676,0.203136584,0.15781662,0.070057293,0.024085518,0.128808219,0.295126404
S43,43,19,10,control,K,BS,4,Jun 1st,cont.K,CKBS2,12400,2.05E+08,3.66,8530,1.41E+08,2.52,1.46,145.5024163,2450,40500000,0.724,366,6040000,0.108,6.7,670.3849462,339000,5.59E+09,8.311753861,8.149219113,7.607455023,6.781036939,9.747411808,0.192497913,0.159419484,0.085191199,0.032869272,0.121126429,0.26182479
S44,44,20,10,rainout,K,BS,4,Jun 1st,rain.K,RKBS2,11000,1.66E+08,2.96,8150,1.23E+08,2.2,1.35,134.6953098,2370,35800000,0.64,286,4330000,0.077,8.29,828.6894916,371000,5.60E+09,8.220108088,8.089905111,7.553883027,6.636487896,9.748188027,0.172906777,0.14887328,0.08008558,0.027752436,0.116452528,0.292057913
S45,45,21,11,control,D,BS,4,Jun 1st,cont.D,CDBS2,13900,2.53E+08,3.84,6950,1.26E+08,1.92,2,200.3235209,3010,54600000,0.83,364,6600000,0.1,8.27,827.2971168,362000,6.58E+09,8.403120521,8.100370545,7.737192643,6.819543936,9.818225894,0.197235498,0.139011345,0.091230837,0.031628049,0.141897055,0.291695042
S46,46,22,11,rainout,D,BS,4,Jun 1st,rain.D,RDBS2,15000,2.72E+08,4.82,6780,1.23E+08,2.18,2.21,220.5842581,2700,4.90E+07,0.869,253,4590000,0.081,10.68,1067.82924,310000,5.64E+09,8.434568904,8.089905111,7.69019608,6.661812686,9.751279104,0.221348051,0.148190018,0.093355714,0.028464343,0.149213773,0.332918525
S47,47,23,12,control,M,BS,4,Jun 1st,cont.M,CMBS2,8210,1.34E+08,3.21,6230,1.02E+08,2.44,1.32,131.7174784,2600,42600000,1.017,203,3320000,0.079,12.82,1281.608173,256000,4.19E+09,8.127104798,8.008600172,7.629409599,6.521138084,9.622214023,0.180137376,0.156847305,0.10101814,0.028110641,0.115145527,0.36617889
S48,48,24,12,rainout,M,BS,4,Jun 1st,rain.M,RMBS2,8150,1.59E+08,2.82,5350,1.04E+08,1.85,1.52,152.4796648,2360,46100000,0.818,237,4630000,0.082,9.95,994.5025287,289000,5.63E+09,8.201397124,8.017033339,7.663700925,6.665580991,9.750508395,0.168728008,0.136437614,0.090567113,0.028639557,0.123602766,0.320916293
