nr,plot,block,irrigation,fertilization ,type,sampling date,AOA_nbc_per_g_DW_soil,AOB_nbc_per_g_DW_soil,AOA_nbc_per_ngDNA,AOB_nbc_per_ngDNA
86,14,7,rainout,D,BS,20/07/2022,4.27E+08,3.73E+08,8.13E+03,7.09E+03
87,15,8,control,M,BS,20/07/2022,1.35E+08,1.58E+08,4.52E+03,5.30E+03
88,16,8,rainout,M,BS,20/07/2022,8.40E+07,1.58E+08,3.00E+03,5.64E+03
89,17,9,control,K,BS,20/07/2022,2.90E+08,3.14E+08,6.75E+03,7.30E+03
90,18,9,rainout,K,BS,20/07/2022,2.92E+08,2.50E+08,8.28E+03,7.08E+03
91,19,10,control,K,BS,20/07/2022,3.28E+08,5.04E+08,8.31E+03,1.28E+04
92,20,10,rainout,K,BS,20/07/2022,2.93E+08,3.26E+08,6.89E+03,7.69E+03
93,21,11,control,D,BS,20/07/2022,5.08E+08,4.45E+08,7.33E+03,6.42E+03
94,22,11,rainout,D,BS,20/07/2022,4.58E+08,3.67E+08,8.09E+03,6.48E+03
95,23,12,control,M,BS,20/07/2022,3.86E+08,5.56E+08,7.92E+03,1.14E+04
96,24,12,rainout,M,BS,20/07/2022,3.86E+08,4.23E+08,9.04E+03,9.89E+03
97,1,1,control,M,BS,13/09/2022,3.45E+08,4.53E+08,6.89E+03,9.03E+03
98,2,1,rainout,M,BS,13/09/2022,2.84E+08,3.33E+08,7.86E+03,9.23E+03
99,3,2,control,D,BS,13/09/2022,4.48E+08,3.66E+08,8.12E+03,6.64E+03
100,4,2,rainout,D,BS,13/09/2022,4.07E+08,3.19E+08,7.34E+03,5.75E+03
101,5,3,control,K,BS,13/09/2022,4.07E+08,3.74E+08,1.05E+04,9.68E+03
102,6,3,rainout,K,BS,13/09/2022,2.46E+08,2.66E+08,6.98E+03,7.56E+03
103,7,4,control,K,BS,13/09/2022,3.34E+08,3.53E+08,8.34E+03,8.81E+03
104,8,4,rainout,K,BS,13/09/2022,3.40E+08,2.54E+08,9.87E+03,7.37E+03
105,9,5,control,M,BS,13/09/2022,1.81E+08,2.42E+08,5.99E+03,7.99E+03
106,10,5,rainout,M,BS,13/09/2022,2.16E+08,2.21E+08,6.79E+03,6.97E+03
107,11,6,control,D,BS,13/09/2022,6.48E+08,3.73E+08,1.18E+04,6.82E+03
108,12,6,rainout,D,BS,13/09/2022,6.85E+08,3.77E+08,1.29E+04,7.12E+03
109,13,7,control,D,BS,13/09/2022,3.24E+08,3.30E+08,5.78E+03,5.88E+03
110,14,7,rainout,D,BS,13/09/2022,3.80E+08,3.06E+08,6.62E+03,5.33E+03
111,15,8,control,M,BS,13/09/2022,1.46E+08,2.29E+08,5.67E+03,8.90E+03
112,16,8,rainout,M,BS,13/09/2022,7.93E+07,2.26E+08,3.11E+03,8.86E+03
113,17,9,control,K,BS,13/09/2022,2.74E+08,3.50E+08,6.86E+03,8.77E+03
114,18,9,rainout,K,BS,13/09/2022,3.11E+08,3.08E+08,8.77E+03,8.67E+03
115,19,10,control,K,BS,13/09/2022,3.41E+08,2.75E+08,9.05E+03,7.31E+03
116,20,10,rainout,K,BS,13/09/2022,2.70E+08,2.44E+08,8.87E+03,8.01E+03
117,21,11,control,D,BS,13/09/2022,3.85E+08,3.90E+08,6.91E+03,6.99E+03
118,22,11,rainout,D,BS,13/09/2022,5.61E+08,4.14E+08,8.61E+03,6.35E+03
119,23,12,control,M,BS,13/09/2022,3.48E+08,5.15E+08,6.97E+03,1.03E+04
120,24,12,rainout,M,BS,13/09/2022,3.97E+08,4.09E+08,8.47E+03,8.71E+03
121,1,1,control,M,RS,28/04/2022,NA,NA,5.88E+03,9.59E+03
122,2,1,rainout,M,RS,28/04/2022,NA,NA,6.07E+03,1.21E+04
123,3,2,control,D,RS,28/04/2022,NA,NA,5.04E+03,5.77E+03
124,4,2,rainout,D,RS,28/04/2022,NA,NA,6.58E+03,9.77E+03
125,5,3,control,K,RS,28/04/2022,NA,NA,6.10E+03,7.64E+03
126,6,3,rainout,K,RS,28/04/2022,NA,NA,7.70E+03,1.29E+04
127,7,4,control,K,RS,28/04/2022,NA,NA,7.14E+03,8.93E+03
128,8,4,rainout,K,RS,28/04/2022,NA,NA,4.91E+03,8.72E+03
129,9,5,control,M,RS,28/04/2022,NA,NA,6.63E+03,8.42E+03
130,10,5,rainout,M,RS,28/04/2022,NA,NA,7.29E+03,1.06E+04
131,11,6,control,D,RS,28/04/2022,NA,NA,8.69E+03,1.16E+04
132,12,6,rainout,D,RS,28/04/2022,NA,NA,1.03E+04,7.86E+03
133,13,7,control,D,RS,28/04/2022,NA,NA,3.80E+03,5.05E+03
134,14,7,rainout,D,RS,28/04/2022,NA,NA,5.12E+03,8.84E+03
135,15,8,control,M,RS,28/04/2022,NA,NA,4.35E+03,7.26E+03
136,16,8,rainout,M,RS,28/04/2022,NA,NA,5.65E+03,9.57E+03
137,17,9,control,K,RS,28/04/2022,NA,NA,3.96E+03,1.33E+04
138,18,9,rainout,K,RS,28/04/2022,NA,NA,6.78E+03,1.08E+04
139,19,10,control,K,RS,28/04/2022,NA,NA,5.12E+03,8.14E+03
140,20,10,rainout,K,RS,28/04/2022,NA,NA,6.39E+03,1.06E+04
141,21,11,control,D,RS,28/04/2022,NA,NA,5.07E+03,6.24E+03
142,22,11,rainout,D,RS,28/04/2022,NA,NA,8.98E+03,7.28E+03
143,23,12,control,M,RS,28/04/2022,NA,NA,6.43E+03,7.54E+03
144,24,12,rainout,M,RS,28/04/2022,NA,NA,5.80E+03,8.89E+03
145,1,1,control,M,RS,01/06/2022,NA,NA,5.66E+03,9.55E+03
146,2,1,rainout,M,RS,01/06/2022,NA,NA,7.91E+03,1.15E+04
147,3,2,control,D,RS,01/06/2022,NA,NA,6.84E+03,7.20E+03
148,4,2,rainout,D,RS,01/06/2022,NA,NA,8.33E+03,8.43E+03
149,5,3,control,K,RS,01/06/2022,NA,NA,9.05E+03,1.08E+04
150,6,3,rainout,K,RS,01/06/2022,NA,NA,6.25E+03,7.88E+03
151,7,4,control,K,RS,01/06/2022,NA,NA,5.59E+03,7.38E+03
152,8,4,rainout,K,RS,01/06/2022,NA,NA,4.81E+03,9.83E+03
153,9,5,control,M,RS,01/06/2022,NA,NA,4.24E+03,8.19E+03
154,10,5,rainout,M,RS,01/06/2022,NA,NA,4.19E+03,8.10E+03
155,11,6,control,D,RS,01/06/2022,NA,NA,6.77E+03,6.28E+03
156,12,6,rainout,D,RS,01/06/2022,NA,NA,8.67E+03,6.32E+03
157,13,7,control,D,RS,01/06/2022,NA,NA,5.50E+03,6.73E+03
158,14,7,rainout,D,RS,01/06/2022,NA,NA,5.53E+03,6.41E+03
159,15,8,control,M,RS,01/06/2022,NA,NA,3.30E+03,7.71E+03
160,16,8,rainout,M,RS,01/06/2022,NA,NA,5.49E+03,6.89E+03
161,17,9,control,K,RS,01/06/2022,NA,NA,4.73E+03,1.04E+04
162,18,9,rainout,K,RS,01/06/2022,NA,NA,6.82E+03,8.05E+03
163,19,10,control,K,RS,01/06/2022,NA,NA,4.61E+03,7.72E+03
164,20,10,rainout,K,RS,01/06/2022,NA,NA,5.69E+03,1.20E+04
165,21,11,control,D,RS,01/06/2022,NA,NA,4.28E+03,6.58E+03
166,22,11,rainout,D,RS,01/06/2022,NA,NA,7.10E+03,7.73E+03
167,23,12,control,M,RS,01/06/2022,NA,NA,6.38E+03,1.23E+04
168,24,12,rainout,M,RS,01/06/2022,NA,NA,7.99E+03,6.51E+03
169,1,1,control,M,RS,05/07/2022,NA,NA,4.39E+03,1.09E+04
170,2,1,rainout,M,RS,05/07/2022,NA,NA,4.95E+03,8.68E+03
171,3,2,control,D,RS,05/07/2022,NA,NA,6.26E+03,7.72E+03
172,4,2,rainout,D,RS,05/07/2022,NA,NA,5.54E+03,6.48E+03
173,5,3,control,K,RS,05/07/2022,NA,NA,5.41E+03,8.52E+03
174,6,3,rainout,K,RS,05/07/2022,NA,NA,7.59E+03,1.03E+04
175,7,4,control,K,RS,05/07/2022,NA,NA,3.28E+03,5.66E+03
176,8,4,rainout,K,RS,05/07/2022,NA,NA,5.08E+03,9.25E+03
177,9,5,control,M,RS,05/07/2022,NA,NA,3.77E+03,7.47E+03
178,10,5,rainout,M,RS,05/07/2022,NA,NA,4.84E+03,1.07E+04
179,11,6,control,D,RS,05/07/2022,NA,NA,7.26E+03,7.57E+03
180,12,6,rainout,D,RS,05/07/2022,NA,NA,9.32E+03,5.76E+03
181,13,7,control,D,RS,05/07/2022,NA,NA,5.91E+03,6.76E+03
182,14,7,rainout,D,RS,05/07/2022,NA,NA,5.88E+03,5.85E+03
183,15,8,control,M,RS,05/07/2022,NA,NA,1.83E+03,6.01E+03
184,16,8,rainout,M,RS,05/07/2022,NA,NA,3.62E+03,5.48E+03
185,17,9,control,K,RS,05/07/2022,NA,NA,4.15E+03,6.91E+03
186,18,9,rainout,K,RS,05/07/2022,NA,NA,5.42E+03,7.50E+03
187,19,10,control,K,RS,05/07/2022,NA,NA,3.26E+03,8.13E+03
188,20,10,rainout,K,RS,05/07/2022,NA,NA,3.98E+03,9.91E+03
189,21,11,control,D,RS,05/07/2022,NA,NA,4.20E+03,8.43E+03
190,22,11,rainout,D,RS,05/07/2022,NA,NA,8.63E+03,8.90E+03
191,23,12,control,M,RS,05/07/2022,NA,NA,6.22E+03,9.31E+03
192,24,12,rainout,M,RS,05/07/2022,NA,NA,7.26E+03,8.19E+03
