,GWC_g_g,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,pH,K_mgkg,Mg_mgkg,P_mgkg,AOB_Richness,AOB_Shannon,AOB_InvSimpson,AOA_Richness,AOA_Shannon,AOA_InvSimpson,COM_Richness,COM_Shannon,COM_InvSimpson
S60,0.063,94.1,0.7,3.5,4.2,1.63,0.182,6.88,12.9,126,1.1,54,3.191982607,15.75735844,119,4.224288471,50.45258203,93,3.555073167,18.16716517
S61,0.287,77.7,0.1,12.9,12.9,1.65,0.186,6.75,9,123,0.7,69,3.243028896,13.10478894,87,3.939157331,35.86714411,85,3.571891669,22.19926742
S62,0.087,92,0.3,8.7,9,1.72,0.193,6.74,8.7,133,1.1,50,3.007493423,11.51653003,87,3.822830362,28.90060501,72,3.498497663,22.18346067
S63,0.294,77.3,1.8,4.2,6,1.26,0.14,5.88,8.5,147,0.7,75,3.511513945,17.7682112,56,2.872932346,7.956746822,31,2.323965955,7.554003501
S64,0.076,93,4.2,9.1,13.3,1.21,0.139,5.74,6.6,153,0.6,81,3.480525938,16.33526816,59,2.856828071,7.759552654,34,2.41345592,7.97967342
S65,0.278,78.2,1.5,12.2,13.7,1.37,0.155,6.04,12.3,118,1.2,82,3.691975562,21.5374656,55,2.818963486,9.309532806,48,2.461226154,6.128975734
S66,0.084,92.3,6.4,17.6,24,1.45,0.165,6.03,12.3,114,1.9,70,3.250161958,11.99547485,46,2.770280705,9.074698885,28,2.095694201,4.697174369
S67,0.259,79.4,0.6,10,10.5,1.46,0.163,6.24,8,110,1.2,97,3.670958566,20.48924128,94,3.927756966,33.35822516,63,3.026884789,11.12369073
S68,0.055,94.8,8.8,12.4,21.2,1.35,0.153,6.2,10,110,1.3,90,3.58083636,19.32511817,76,3.408111274,13.92115008,66,3.126113434,12.76083241
S69,0.294,77.3,0.1,18,18,1.89,0.215,6.77,8.1,179,0.8,56,3.201936133,14.3054453,82,3.80315211,30.92874113,71,3.253151152,14.77923785
S70,0.105,90.5,0,11.5,11.5,2.11,0.242,6.74,8.5,183,1.1,55,3.180396045,14.31516418,80,3.825887482,31.30991309,63,3.189141219,13.60505453
S71,0.296,77.1,0.5,8.6,9,1.69,0.199,6.05,4.9,198,0.9,88,3.860422419,29.69866281,74,3.585338681,22.57749788,49,2.645360018,7.414203096
S72,0.091,91.7,10.3,31.8,42,1.79,0.212,6.2,8.1,193,1.2,91,3.651414381,22.67805497,103,4.073850648,41.94941236,47,2.930792664,11.23034444
S73,0.237,80.8,0.1,14,14.1,1.46,0.163,6.71,9.2,156,1,91,3.598853037,20.24942093,86,3.961262496,38.98763269,93,3.662530295,24.05985157
S74,0.174,85.2,18.2,58.7,76.9,1.42,0.17,6.19,21.2,170,1.6,69,3.26497759,12.03077374,96,3.72128047,22.07171545,62,2.777601211,7.574029534
S75,0.255,79.7,0.1,16.4,16.4,1.65,0.185,6.96,12.6,136,0.9,48,2.975982028,12.9570496,90,4.032872596,43.37207736,74,3.42981358,18.83706187
S76,0.192,83.9,0,25.8,25.8,1.71,0.187,6.88,17.2,132,1.3,68,3.300340243,14.21758162,104,3.986713281,36.42625309,61,3.052259999,12.21949458
S77,0.262,79.2,0.5,15.5,15.9,1.45,0.164,6.19,10.6,116,1.5,86,3.66938133,20.47137661,61,2.985892828,10.63140488,44,2.520068661,6.748972742
S78,0.161,86.2,13.4,57.9,71.2,1.49,0.177,6.17,13.9,118,1,85,3.423767071,12.42965831,80,3.504062329,17.85863146,49,2.903355787,9.155938309
S79,0.243,80.4,0.6,12.9,13.6,1.41,0.161,6.17,7.6,110,1.1,83,3.521510708,16.18661361,73,3.190436269,12.02556417,59,2.742805933,7.057218335
S80,0.167,85.7,16.9,55.7,72.6,1.53,0.173,6.08,14.9,124,1.4,88,3.486942555,15.73683908,61,2.979726963,9.581900377,41,2.476105266,5.876281975
S81,0.286,77.8,0.9,8,8.9,1.11,0.128,5.9,4.7,147,0.5,97,3.928629556,34.87066112,62,2.872626838,9.567129814,34,2.303064454,7.347292135
S82,0.162,86.1,10.9,42,52.9,1.24,0.145,5.92,10.5,157,1.3,94,3.640956009,18.24434972,56,2.888834684,9.955662587,44,2.375059129,5.884436309
S83,0.266,79,0,17.7,17.7,1.58,0.179,6.88,20.2,131,1.6,54,3.142350225,11.74298004,84,3.771362644,28.10549928,70,3.47497864,18.7537547
S84,0.184,84.5,0,26,26,1.64,0.185,6.95,22.4,132,1.5,57,3.145997273,15.05031043,108,4.146962507,47.65439086,78,3.497376151,19.15042652
S85,0.281,78.1,0.6,26,26.5,1.77,0.201,6.76,17.8,142,1.5,60,3.379325554,17.05395758,93,3.954015281,37.05629523,82,3.60298249,23.39337834
S86,0.175,85.1,0.4,25.2,25.6,1.83,0.205,6.88,16.1,149,1.4,38,2.909009483,10.16944077,80,3.85003045,31.95626646,63,3.246736423,16.87818571
S87,0.212,82.5,3.7,9.1,12.8,1.21,0.14,5.82,7.5,142,0.7,26,2.325817794,6.600020882,45,2.822577634,8.158264812,34,2.264649065,6.622438612
S88,0.155,86.6,21,46.1,67.2,1.2,0.145,5.58,14.5,142,0.8,53,3.350141237,19.05446704,39,2.694313235,8.252475593,27,2.189809651,6.104649107
S89,0.248,80.1,3,14.4,17.5,1.42,0.161,6.01,10.8,124,1,58,3.204238106,11.39705699,44,2.866006123,10.0845845,39,2.27725672,5.45295076
S90,0.156,86.5,16.2,40.5,56.6,1.37,0.164,5.87,10.8,118,1.3,52,3.085451124,12.10395923,41,2.783219866,9.827548036,38,2.134519155,5.133173203
S91,0.239,80.7,1.3,12.4,13.8,1.44,0.163,6.28,8.1,109,1,62,3.308058273,15.90989526,87,3.804646383,27.49185404,67,3.103145783,12.04141798
S92,0.159,86.3,12.7,38.7,51.4,1.34,0.158,6.19,10.7,110,1,82,3.440161125,12.383207,73,3.411789365,13.77129717,58,2.856109264,9.68988081
S93,0.29,77.5,0.3,19.3,19.6,1.91,0.216,6.75,8.2,164,1.3,59,3.189629969,14.22447249,75,3.749879129,30.59417294,70,3.241157327,15.453926
S94,0.195,83.7,0,25.9,25.9,2.17,0.249,6.69,8.5,173,0.7,30,2.920789639,13.18130343,55,3.668755369,30.73376477,62,3.002157775,10.56462327
S95,0.254,79.7,0.8,9,9.8,1.72,0.202,5.99,4.9,195,1.2,65,3.402369285,18.80763509,70,3.493112162,20.50101917,42,2.328881011,5.281136019
S96,0.184,84.4,12.7,58.1,70.8,1.78,0.215,6.13,8.7,193,0.7,76,3.525246991,20.03320332,83,3.905201122,35.39015338,45,2.660059484,8.037882989
S97,0.283,77.9,0.7,9.9,10.5,1.45,0.163,6.57,12.5,162,1.1,73,3.602497137,22.94847664,103,4.078712587,43.9294937,73,3.275218447,15.40585677
S98,0.304,76.7,1.8,6.6,8.4,1.41,0.159,6.3,8.3,152,1.1,68,3.366159429,14.92403247,90,3.793880696,26.4186475,73,3.066511056,11.22767382
S99,0.286,77.7,0.2,14.8,15,1.75,0.194,6.91,14.9,141,1.8,41,2.926585805,11.29119664,75,3.903793214,39.27334193,73,3.328267754,15.98455211
