"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","COM_Richness","COM_Shannon","COM_InvSimpson"
"S58",0.056,94.7,5.1,13.3,18.4,1.17,0.133,6.12,6.4,146,0.9,56,2.74018686160349,8.0145751557353
"S59",0.262,79.2,0.1,13.1,13.1,1.63,0.179,6.76,13,130,1.1,85,3.68482496101225,26.7267407818077
"S60",0.063,94.1,0.7,3.5,4.2,1.63,0.182,6.88,12.9,126,1.1,93,3.55507316724734,18.1671651658799
"S61",0.287,77.7,0.1,12.9,12.9,1.65,0.186,6.75,9,123,0.7,85,3.57189166868834,22.1992674182066
"S62",0.087,92,0.3,8.7,9,1.72,0.193,6.74,8.7,133,1.1,72,3.49849766270932,22.1834606715449
"S63",0.294,77.3,1.8,4.2,6,1.26,0.14,5.88,8.5,147,0.7,31,2.32396595532004,7.55400350119419
"S64",0.076,93,4.2,9.1,13.3,1.21,0.139,5.74,6.6,153,0.6,34,2.41345592035011,7.97967342031671
"S65",0.278,78.2,1.5,12.2,13.7,1.37,0.155,6.04,12.3,118,1.2,48,2.46122615394184,6.12897573396536
"S66",0.084,92.3,6.4,17.6,24,1.45,0.165,6.03,12.3,114,1.9,28,2.09569420066453,4.69717436863464
"S67",0.259,79.4,0.6,10,10.5,1.46,0.163,6.24,8,110,1.2,63,3.02688478892616,11.1236907322831
"S68",0.055,94.8,8.8,12.4,21.2,1.35,0.153,6.2,10,110,1.3,66,3.12611343395515,12.7608324138367
"S69",0.294,77.3,0.1,18,18,1.89,0.215,6.77,8.1,179,0.8,71,3.25315115212754,14.779237850595
"S70",0.105,90.5,0,11.5,11.5,2.11,0.242,6.74,8.5,183,1.1,63,3.18914121889986,13.6050545319874
"S71",0.296,77.1,0.5,8.6,9,1.69,0.199,6.05,4.9,198,0.9,49,2.64536001812918,7.41420309610421
"S72",0.091,91.7,10.3,31.8,42,1.79,0.212,6.2,8.1,193,1.2,47,2.93079266444785,11.230344439749
"S73",0.237,80.8,0.1,14,14.1,1.46,0.163,6.71,9.2,156,1,93,3.66253029475697,24.0598515706265
"S74",0.174,85.2,18.2,58.7,76.9,1.42,0.17,6.19,21.2,170,1.6,62,2.77760121127554,7.57402953364362
"S75",0.255,79.7,0.1,16.4,16.4,1.65,0.185,6.96,12.6,136,0.9,74,3.42981358039647,18.8370618680377
"S76",0.192,83.9,0,25.8,25.8,1.71,0.187,6.88,17.2,132,1.3,61,3.05225999938993,12.2194945809846
"S77",0.262,79.2,0.5,15.5,15.9,1.45,0.164,6.19,10.6,116,1.5,44,2.52006866146145,6.74897274186188
"S78",0.161,86.2,13.4,57.9,71.2,1.49,0.177,6.17,13.9,118,1,49,2.90335578726357,9.15593830947489
"S79",0.243,80.4,0.6,12.9,13.6,1.41,0.161,6.17,7.6,110,1.1,59,2.74280593327076,7.0572183347279
