SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg,log10NH4,logNH4,logNO3,mean.N2Oflux,N2Oflux.cbrt
S34,10,5,Rainout,CONMIN,rain.M,6,2,RMBS2,Jun,0-15cm,0.066,93.8,32.5,63,95.5,1.28,0.154,12.8,1.5,6.03,2.04,16.4,8.5,16.9,164,1.3,1.525044807,3.511545439,4.143134726,-0.1998,-0.584608548
S35,11,6,Control,BIODYN,cont.D,6,2,CDBS2,Jun,0-15cm,0.179,84.8,0.1,12.1,12.2,1.57,0.175,15.7,1.8,6.69,1.29,12.8,8.1,10.7,128,1.3,0.041392685,0.09531018,2.493205453,0.0458,0.35778475
S36,12,6,Rainout,BIODYN,rain.D,6,2,RDBS2,Jun,0-15cm,0.089,91.8,0.1,7.2,7.3,1.64,0.181,16.4,1.8,6.76,1.52,13.7,7,12.6,137,1.1,0.041392685,0.09531018,1.974081026,0.0128,0.233921419
S37,13,7,Control,BIODYN,cont.D,7,3,CDBS2,Jun,0-15cm,0.191,84,0.2,11.3,11.6,1.59,0.175,15.9,1.8,6.76,1.63,13.7,8.8,13.5,137,1.4,0.079181246,0.182321557,2.424802726,0.1884,0.573271431
S38,14,7,Rainout,BIODYN,rain.D,7,3,RDBS2,Jun,0-15cm,0.095,91.4,0.2,9.6,9.8,1.75,0.194,17.5,1.9,6.74,1.14,14.6,7.2,9.5,146,1.1,0.079181246,0.182321557,2.261763098,0.0556,0.381673139
S39,15,8,Control,CONMIN,cont.M,7,3,CMBS2,Jun,0-15cm,0.208,82.7,2.6,3.1,5.8,1.27,0.142,12.7,1.4,5.82,0.71,14.6,4.6,5.9,146,0.7,0.556302501,1.280933845,1.131402111,0.1364,0.514759998
S40,16,8,Rainout,CONMIN,rain.M,7,3,RMBS2,Jun,0-15cm,0.082,92.4,7.5,15.2,22.8,1.15,0.133,11.5,1.3,5.68,1.11,14.3,5.5,9.2,143,0.9,0.929418926,2.140066163,2.721295428,-0.0384,-0.337373066
S41,17,9,Control,CONFYM,cont.K,7,3,CKBS2,Jun,0-15cm,0.185,84.4,3.4,7.1,10.5,1.42,0.39,14.2,3.9,6.16,1.06,12.6,7.9,8.8,126,1.2,0.643452676,1.481604541,1.960094784,0.11875,0.491523786
S42,18,9,Rainout,CONFYM,rain.K,7,3,RKBS2,Jun,0-15cm,0.078,92.8,15.1,27,42.1,1.47,0.167,14.7,1.7,6.17,1.27,12.3,8.3,10.5,123,1.3,1.206825876,2.778819272,3.295836866,0.0202,0.272343568
S43,19,10,Control,CONFYM,cont.K,8,4,CKBS2,Jun,0-15cm,0.191,83.9,3.3,5.4,8.7,1.42,0.158,14.2,1.6,6.18,0.77,11.2,9.4,6.4,112,1.5,0.633468456,1.458615023,1.686398954,-0.1306,-0.507357859
