nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
39,15,8,control,M,BS,01/06/2022,cont.M,CMBS2,8.01E+03,1.37E+08,3.26,6.83E+03,1.16E+08,2.78,1.17,117.352418,1.53E+03,2.61E+07,0.624,1.71E+02,2.91E+06,0.07,8.96,896.3455657,2.46E+05,4.19E+09
40,16,8,rainout,M,BS,01/06/2022,rain.M,RMBS2,1.08E+04,1.03E+08,2.95,6.86E+03,6.61E+07,1.89,1.57,156.632072,2.07E+03,1.99E+07,0.567,2.07E+02,1.99E+06,0.057,9.97,997.0756361,3.64E+05,3.50E+09
41,17,9,control,K,BS,01/06/2022,cont.K,CKBS2,1.16E+04,2.11E+08,3.17,9.09E+03,1.66E+08,2.49,1.27,127.4310635,2.11E+03,3.85E+07,0.578,3.51E+02,6.40E+06,0.096,6.02,602.1632258,3.66E+05,6.67E+09
42,18,9,rainout,K,BS,01/06/2022,rain.K,RKBS2,1.13E+04,2.02E+08,4.07,6.85E+03,1.22E+08,2.47,1.65,164.7608628,1.36E+03,2.43E+07,0.49,1.61E+02,2.87E+06,0.058,8.46,845.8594512,2.77E+05,4.96E+09
43,19,10,control,K,BS,01/06/2022,cont.K,CKBS2,1.24E+04,2.05E+08,3.66,8.53E+03,1.41E+08,2.52,1.46,145.5024163,2.45E+03,4.05E+07,0.724,3.66E+02,6.04E+06,0.108,6.7,670.3849462,3.39E+05,5.59E+09
44,20,10,rainout,K,BS,01/06/2022,rain.K,RKBS2,1.10E+04,1.66E+08,2.96,8.15E+03,1.23E+08,2.2,1.35,134.6953098,2.37E+03,3.58E+07,0.64,2.86E+02,4.33E+06,0.077,8.29,828.6894916,3.71E+05,5.60E+09
45,21,11,control,D,BS,01/06/2022,cont.D,CDBS2,1.39E+04,2.53E+08,3.84,6.95E+03,1.26E+08,1.92,2,200.3235209,3.01E+03,5.46E+07,0.83,3.64E+02,6.60E+06,0.1,8.27,827.2971168,3.62E+05,6.58E+09
46,22,11,rainout,D,BS,01/06/2022,rain.D,RDBS2,1.50E+04,2.72E+08,4.82,6.78E+03,1.23E+08,2.18,2.21,220.5842581,2.70E+03,4.90E+07,0.869,2.53E+02,4.59E+06,0.081,10.68,1067.82924,3.10E+05,5.64E+09
47,23,12,control,M,BS,01/06/2022,cont.M,CMBS2,8.21E+03,1.34E+08,3.21,6.23E+03,1.02E+08,2.44,1.32,131.7174784,2.60E+03,4.26E+07,1.017,2.03E+02,3.32E+06,0.079,12.82,1281.608173,2.56E+05,4.19E+09
48,24,12,rainout,M,BS,01/06/2022,rain.M,RMBS2,8.15E+03,1.59E+08,2.82,5.35E+03,1.04E+08,1.85,1.52,152.4796648,2.36E+03,4.61E+07,0.818,2.37E+02,4.63E+06,0.082,9.95,994.5025287,2.89E+05,5.63E+09
49,1,1,control,M,BS,05/07/2022,cont.M,CMBS3,1.00E+04,4.18E+08,2.11,1.01E+04,4.22E+08,2.13,0.99,99.16659274,1.43E+03,5.98E+07,0.301,4.08E+02,1.70E+07,0.086,3.51,351.0154938,4.75E+05,1.98E+10
50,2,1,rainout,M,BS,05/07/2022,rain.M,RMBS3,7.86E+03,2.91E+08,2.09,1.07E+04,3.98E+08,2.85,0.73,73.16165776,1.32E+03,4.88E+07,0.35,2.19E+02,8.11E+06,0.058,6.02,601.7669377,3.76E+05,1.40E+10
51,3,2,control,D,BS,05/07/2022,cont.D,CDBS3,8.05E+03,4.22E+08,2.2,6.30E+03,3.30E+08,1.73,1.28,127.6816934,1.35E+03,7.06E+07,0.369,3.12E+02,1.64E+07,0.085,4.32,431.6032157,3.65E+05,1.91E+10
52,4,2,rainout,D,BS,05/07/2022,rain.D,RDBS3,8.70E+03,4.23E+08,2.18,7.04E+03,3.42E+08,1.76,1.23,123.4556099,1.82E+03,8.83E+07,0.455,3.06E+02,1.49E+07,0.077,5.94,593.9543086,3.99E+05,1.94E+10
53,5,3,control,K,BS,05/07/2022,cont.K,CKBS3,7.28E+03,2.86E+08,2.03,9.03E+03,3.55E+08,2.52,0.81,80.616888,1.30E+03,5.13E+07,0.364,2.30E+02,9.04E+06,0.064,5.67,567.1482469,3.59E+05,1.41E+10
54,6,3,rainout,K,BS,05/07/2022,rain.K,RKBS3,9.05E+03,4.30E+08,2.96,6.88E+03,3.27E+08,2.25,1.32,131.5305825,1.19E+03,5.66E+07,0.39,1.89E+02,8.96E+06,0.062,6.31,631.301358,3.05E+05,1.45E+10
