,Apr-28_M,Jun-01_M,Jul-05_M,Jul-20_M,Sep-13_M,Apr-28_D,Jun-01_D,Jul-05_D,Jul-20_D,Sep-13_D,Apr-28_K,Jun-01_K,Jul-05_K,Jul-20_K,Sep-13_K
COM_ASV 119,0,0,0,0,0,0,-2.321928095,0,0,-1.540568381,0,0,0,0,0
COM_ASV 128,0,0,0,0,0,0,0,2.584962501,0,0,0,0,0,0,0
COM_ASV 48,0,0,0,0,0,0,0,0,0,0,0,0,2.215012891,0,0
COM_ASV 4,0,0,0,0,0,0,0,0,0,0,0,0,0.393544438,0,0
COM_ASV 25,0,0,0,-2.321928095,-1.923764414,0,0,0,0,0,0,0,0,0,0
COM_ASV 11,0,0,0,0,0,0,0,0,-0.900234799,0,0,0,0,0,0
COM_ASV 93,0,0,0,0,-2.209453366,0,0,0,0,0,0,0,0,-2.712718048,0
COM_ASV 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.943416472
COM_ASV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414131875
COM_ASV 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.337034987
COM_ASV 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM_ASV 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
