"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_114",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,17,0,13,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,15,0,7,9,0,0,0,0,0,0
"ASV_66",0,0,0,0,5,0,0,1,22,23,0,2,0,0,0,2,53,0,7,0,0,7,0,0,4,0,0,4,9,1,13,33,6,0,0,0,0,16,11,2,0,3,3,0,0,0,0,0,6,0,0,1,3,0,3,5,3,0,0,0,0,8,0,3,0,14,0,0,0,5,0,5,3,0,0,9,1,0,1,11,11,0,0,0,0,0,13,10,15,6,3,0,0,0,5,0,7,0,0,17,0,0,3,22,5,0,0,0,0,1,2,5,0,0,9,0,0,4,0
"ASV_59",0,0,0,0,81,0,0,32,16,0,0,0,0,22,11,7,6,0,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,30,13,12,0,0,5,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,32,32,3,41,0,6,0,0,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,5,0,18,0,0,0,0,0,0
"ASV_113",0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,1,0,34,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ASV_71",17,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,7,0,8,2,0,9,1,0,0,8,7,0,3,5,2,0,0,2,0,0,0,2,7,0,0,0,11,7,0,2,9,0,0,0,0,8,1,4,4,2,2,0,4,0,7,11,8,0,3,2,0,3,9,3,0,0,4,4,7,1,10,6,1,3,1,1,0,0,13,0,8,6,11,0,0,13,0,10,0,0,0,8,0,14,0,0,0,9,0,4,13,8,0,11,7,0,2,0,1,12,1
"ASV_28",0,27,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0,0,0,15,0,7,0,0,11,0,0,26,11,0,13,14,13,0,8,15,0,5,0,9,21,0,8,14,11,13,17,14,6,0,0,15,33,31,16,53,23,10,6,0,0,9,12,0,26,1,14,14,6,20,11,0,23,0,0,23,44,18,13,6,0,13,0,0,0,0,0,28,18,0,0,0,69,24,10,0,16,0,0,8,0,0,0,2,15,11,18,0,0,0,10,11,41,4,4,8,0,9,22
"ASV_37",22,0,0,0,0,0,37,0,0,5,0,0,0,0,10,11,0,0,0,0,0,46,18,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,14,11,21,0,8,0,0,0,0,0,0,24,4,0,0,0,0,0,20,27,7,0,0,0,20,61,37,0,24,0,0,0,10,4,0,0,15,0,0,0,0,0,16,0,0,0,0,0,0,115,37,0,16,0,0,8,14,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,47,19
"ASV_145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,15,0,0,0,41,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV_36",0,0,0,35,28,0,0,0,0,0,0,0,0,0,21,1,11,0,13,0,0,0,0,6,0,0,0,33,0,39,4,0,9,0,8,0,12,0,0,0,11,0,20,5,7,14,0,2,0,6,0,18,0,0,18,0,0,0,7,3,6,0,14,39,8,6,20,5,9,0,0,0,12,8,10,31,20,7,0,0,0,0,5,9,16,0,0,0,53,0,24,18,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,26,5,0,0,0,8,6,21,0,12,8,0
"ASV_31",0,0,0,0,0,0,39,0,0,0,0,0,0,20,0,18,21,0,1,0,0,12,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0,28,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,42,34,74,22,0,3,4,0,0,57,0,50,0,0,7,0,16,0,0,0,0,0,0,0,0,41,0,42,0,0,0,0,0,29,28,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,13,0,0,0,0,16,41,52,0,0,0,0,0,0
"ASV_2",160,127,106,134,76,157,210,126,177,67,125,143,65,47,49,58,127,64,56,148,162,39,73,85,110,99,97,121,70,86,114,69,145,265,61,100,87,94,82,92,239,57,53,64,139,83,137,80,94,132,68,130,87,179,149,268,183,108,45,83,110,91,142,142,243,75,90,97,104,86,67,63,92,97,105,85,132,112,169,103,172,139,101,55,121,302,121,156,191,63,70,89,0,146,73,117,106,164,166,86,69,214,106,35,102,88,134,157,96,53,120,154,202,76,41,63,122,47,136
"ASV_108",0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4,28,0,3,5,0,11,0,0,0,2,6,17,16,0,0,0,0,0,16,0,0,0,0,0,0,9,0,0,13,0,6,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0
"ASV_63",0,8,0,0,5,0,129,0,26,0,0,0,0,0,0,0,0,0,0,9,0,36,0,0,2,2,0,103,4,36,1,0,1,82,0,1,0,0,0,4,0,0,2,2,1,0,1,2,0,0,0,1,3,97,0,0,0,1,0,0,0,2,0,0,44,1,0,0,1,54,2,0,0,1,0,48,1,2,0,0,0,0,0,0,0,0,0,0,93,4,4,1,0,0,0,2,2,0,1,1,99,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
"ASV_142",0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,109,0,0,0,0,0,17,0,1,39,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_95",0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,36,0,0,0,0,0,8,0,1,121,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0
"ASV_30",17,0,30,3,0,0,22,10,0,0,35,8,4,0,0,0,0,7,0,0,37,0,2,7,5,20,9,2,0,4,2,0,6,9,19,20,3,0,0,0,0,4,4,9,16,0,18,7,0,4,12,16,2,0,2,4,1,49,22,24,11,0,0,0,0,9,11,30,43,9,7,1,0,15,3,4,0,14,6,5,6,40,27,32,15,0,0,0,0,5,6,25,45,0,31,5,0,16,32,2,0,0,0,0,1,15,0,10,12,0,0,0,0,13,0,11,40,0,0
"ASV_5",33,0,0,54,0,0,0,0,0,0,83,61,124,0,0,0,0,30,10,16,0,0,24,21,8,67,100,7,20,29,3,10,16,81,54,65,80,0,0,0,0,14,7,63,63,0,7,49,7,75,112,23,5,7,11,4,14,47,72,58,51,0,0,0,0,22,15,42,84,0,17,30,16,96,70,6,33,17,5,0,2,54,71,32,89,0,0,0,0,13,8,39,53,0,15,28,29,42,30,11,0,6,0,0,0,14,62,74,73,0,0,0,0,27,49,31,79,0,16
"ASV_4",27,64,157,0,24,0,35,6,0,0,113,63,48,0,0,0,0,34,64,41,14,11,13,58,58,89,73,16,40,26,17,0,10,93,50,40,93,0,0,0,0,43,71,72,56,7,13,43,38,85,116,38,54,46,13,22,10,102,86,61,44,0,0,0,0,31,86,46,69,9,54,32,14,92,64,7,23,39,12,0,7,52,90,32,69,0,0,7,0,29,103,51,74,11,38,56,19,107,52,6,20,22,11,0,28,62,58,50,56,1,0,2,0,52,43,33,30,11,23
"ASV_9",0,19,0,51,7,0,22,10,0,12,40,38,29,0,3,0,2,20,17,64,48,27,59,26,19,32,30,13,16,23,32,0,0,0,31,7,27,1,0,7,0,12,19,32,38,19,53,15,18,27,0,10,9,12,5,16,6,54,9,43,41,0,0,0,13,23,8,44,33,22,28,8,25,18,37,0,19,46,19,0,0,18,27,27,34,0,0,0,3,8,20,39,110,8,40,43,0,0,24,5,22,38,0,0,4,30,10,23,36,0,0,0,0,25,18,28,84,10,32
"ASV_29",0,0,83,17,0,0,0,0,0,0,21,16,23,0,0,0,0,0,12,0,24,0,15,20,0,22,19,5,16,4,0,0,0,0,14,15,30,6,0,0,0,8,4,12,11,10,5,19,21,16,0,7,0,0,3,0,8,9,14,12,12,0,0,0,0,11,20,50,27,8,18,7,3,13,20,0,0,13,2,0,0,18,3,24,25,0,0,0,0,15,29,12,0,0,27,9,12,26,0,0,12,9,0,0,0,9,26,12,22,0,0,0,0,4,12,5,13,0,13
"ASV_16",30,0,0,21,0,16,0,15,0,0,26,49,57,0,0,0,0,8,5,75,55,12,35,20,10,0,0,0,24,14,10,0,3,77,31,11,9,0,0,6,0,15,7,35,32,7,49,32,24,14,0,13,43,0,12,9,0,36,16,22,21,0,0,0,0,8,10,43,53,9,29,1,24,26,31,8,31,27,14,0,5,32,0,18,39,0,0,0,0,14,12,37,33,6,26,13,10,30,36,22,12,39,9,0,10,28,28,27,13,0,0,0,0,2,11,22,65,10,45
"ASV_18",54,1,0,38,0,0,0,0,0,3,10,32,19,0,0,0,19,11,9,40,45,0,38,29,24,9,13,14,11,18,16,0,8,22,18,12,37,0,0,0,22,6,15,35,73,14,40,10,23,38,41,5,18,17,5,1,0,29,22,28,19,0,3,0,0,6,7,22,38,14,29,8,31,36,20,6,25,19,7,0,4,23,44,5,25,0,0,0,0,9,14,54,55,22,72,27,2,25,5,4,16,34,6,0,0,28,0,24,23,0,0,0,0,21,7,38,42,14,39
"ASV_11",25,0,65,23,5,0,0,11,0,0,22,26,51,0,0,0,0,28,18,15,77,0,8,24,14,46,81,7,13,28,10,16,5,36,38,59,37,0,0,0,0,26,13,29,22,0,29,37,16,34,104,18,16,7,4,10,8,33,28,71,45,0,0,0,0,20,42,9,27,0,15,32,14,78,37,5,9,12,0,0,20,34,60,41,37,0,0,0,0,22,25,16,46,0,24,49,14,84,33,26,13,0,0,4,2,31,14,51,43,0,0,0,0,18,34,9,45,4,7
"ASV_14",18,25,0,0,0,0,0,0,55,0,0,31,66,0,0,0,0,17,16,47,0,20,26,0,21,27,25,3,15,37,16,0,5,26,41,17,36,0,0,1,0,11,26,58,21,7,41,19,19,19,0,11,51,12,15,0,0,19,51,22,30,0,0,0,1,3,5,30,24,5,51,9,29,28,27,17,19,33,10,0,0,22,29,58,26,0,0,0,0,0,16,28,50,17,33,63,14,0,16,5,53,23,0,0,0,14,38,20,10,0,0,0,0,14,18,33,12,24,44
"ASV_39",11,0,63,36,0,0,0,0,0,0,29,9,41,0,0,0,0,0,4,12,0,0,1,10,0,9,0,0,2,4,0,0,0,0,30,7,9,0,0,0,0,3,2,4,6,0,11,18,7,17,52,6,3,0,0,9,12,14,32,21,7,0,0,0,0,6,8,2,6,0,7,0,10,18,20,0,9,2,0,1,0,2,48,17,29,0,0,0,0,0,5,8,0,0,15,32,4,20,0,3,0,0,0,6,0,8,28,9,7,0,0,0,0,5,0,3,39,0,10
"ASV_70",0,0,0,0,0,0,0,0,0,0,30,9,26,0,0,0,0,0,1,0,27,0,7,0,2,9,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,19,0,0,8,0,0,0,0,0,0,1,1,0,1,0,13,0,0,0,0,0,7,0,0,10,0,0,0,0,0,10,0,6,0,0,0,1,0,3,19,14,0,0,0,0,9,1,0,11,0,0,0,20,0,0,0,0,11,0,0,0,0,28,0,13,0,0,0,0,0,1,6,29,0,0
"ASV_50",0,0,0,0,0,0,0,0,0,0,19,14,13,0,0,0,0,20,1,0,0,0,5,19,0,30,15,0,21,0,0,3,5,0,9,4,0,0,0,0,0,4,7,0,9,0,7,0,0,16,0,0,0,0,1,0,0,0,17,27,35,0,0,0,0,7,0,0,8,0,0,8,0,16,15,0,0,0,0,0,0,18,16,23,19,0,0,0,0,0,0,6,12,0,0,18,0,10,5,8,0,0,0,0,8,0,18,42,15,0,0,0,0,0,0,0,0,0,4
"ASV_86",0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,31,0,0,0,0,0,8,0,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11,119,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,53,2,105,0,0,0,0,0,0,0,3,6,0,0,0,0,0,59,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"ASV_49",14,15,0,3,0,0,8,20,0,0,0,22,1,0,0,0,0,0,5,3,30,0,18,4,15,2,2,4,0,0,10,0,0,12,11,6,15,0,0,0,3,2,0,7,11,2,9,10,0,9,0,4,0,0,0,5,0,15,5,1,19,0,0,0,0,3,4,26,19,0,12,3,3,11,8,0,11,0,0,0,0,14,10,15,29,0,0,0,0,5,18,5,33,10,6,8,0,15,0,4,4,3,0,0,0,16,20,0,18,0,0,0,0,0,2,13,31,0,10
"ASV_117",2,1,0,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,13,0,11,0,0,4,6,0,3,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,6,5,0,2,0,0,1,0,0,0,0,0,1,1,14,4,0,0,0,0,0,1,4,0,0,5,2,9,3,5,0,0,0,0,0,0,7,4,3,11,0,0,0,0,2,0,0,7,1,6,1,0,1,0,12,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,8,4,0
"ASV_326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0
"ASV_38",9,0,38,11,0,0,0,0,0,0,138,29,7,0,0,0,0,0,0,0,0,0,12,12,12,9,5,0,3,5,0,3,0,0,35,11,1,0,0,0,0,2,1,1,26,0,17,30,4,12,19,9,0,0,5,0,0,21,38,9,0,0,0,0,0,0,0,10,5,0,10,4,9,25,11,0,6,0,4,0,5,0,47,6,6,0,0,0,0,8,9,5,9,0,0,23,0,28,4,2,14,0,0,0,7,8,99,11,0,0,0,0,0,0,0,1,14,0,2
"ASV_15",0,0,0,0,0,37,0,0,0,18,0,4,0,228,177,4,11,14,0,0,0,0,0,0,0,0,0,0,0,0,7,74,34,0,0,0,0,103,125,10,0,0,0,0,0,0,0,0,1,0,0,4,3,6,0,0,18,0,0,0,0,228,179,14,8,0,0,0,0,7,0,0,4,0,0,7,3,0,5,28,18,0,0,1,0,264,160,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,285,349,6,44,0,0,0,0,0,0
"ASV_175",0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_196",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,4,5,3,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"ASV_318",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,6,8,0,6,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0
"ASV_40",0,0,19,9,18,0,43,13,16,13,0,0,0,4,6,8,11,9,5,0,8,14,16,3,15,0,0,10,5,4,3,12,10,8,3,4,7,7,5,7,17,6,7,9,7,9,8,8,13,5,0,9,9,17,12,15,18,6,2,10,4,12,16,20,14,11,10,4,2,6,0,4,14,7,8,14,4,8,18,6,10,5,2,0,7,14,15,15,19,16,6,0,0,13,7,0,0,0,8,16,17,14,14,5,8,0,0,0,0,14,5,5,12,7,9,5,2,6,7
"ASV_400",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0
"ASV_275",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,3,2,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,2,5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"ASV_306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,5,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0
"ASV_244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,2,3,0,0,0,1,0,0,3,2,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,11,0,3,3,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,11,13,19,0,1,0,0,0,0
"ASV_266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,4,1,0
"ASV_87",0,0,0,7,0,20,0,11,0,0,0,0,1,0,21,1,5,0,2,3,0,0,0,0,0,0,0,21,1,3,3,17,0,0,0,3,20,0,0,2,0,0,0,2,0,0,0,0,5,9,0,8,0,14,4,1,1,2,0,3,2,0,0,4,9,1,10,0,0,0,0,0,0,0,5,11,14,0,7,0,0,3,0,0,4,0,3,0,0,11,7,2,0,0,0,2,0,2,1,2,0,2,0,0,0,0,0,4,3,5,0,0,0,2,1,1,0,2,0
"ASV_345",0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"ASV_121",0,0,21,10,0,0,0,0,0,0,19,9,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,5,0,20,11,0,0,0,0,0,0,5,0,6,9,0,0,0,0,1,0,4,0,0,0
"ASV_21",0,0,0,42,0,18,0,12,0,0,0,0,29,0,0,21,53,54,25,16,0,0,0,0,0,0,0,21,16,36,11,0,0,0,12,22,25,0,0,3,0,51,26,25,0,0,0,12,18,15,0,11,0,50,5,2,0,13,0,38,24,0,1,15,19,39,35,25,0,0,0,0,0,0,27,32,18,0,8,3,0,31,5,0,22,0,0,0,0,85,8,45,0,0,0,7,0,27,57,22,0,13,0,0,0,12,0,22,37,0,0,10,0,15,30,6,5,0,0
"ASV_23",0,0,0,52,0,18,0,11,0,0,0,0,36,0,2,25,14,44,15,20,0,0,0,0,0,0,0,20,17,32,14,3,0,0,14,22,22,0,0,20,0,43,17,36,0,0,0,8,3,21,0,19,0,18,9,0,0,17,0,22,22,0,0,35,25,32,28,36,0,0,0,0,0,0,35,36,21,0,5,2,3,48,18,0,20,0,0,0,0,127,19,39,0,0,0,3,0,16,37,5,0,16,0,0,0,7,0,15,36,0,0,15,0,20,18,21,8,0,0
"ASV_64",0,0,0,0,0,13,0,8,0,0,0,0,12,0,0,11,9,3,5,5,0,0,0,0,0,0,0,9,4,17,6,1,0,0,2,7,7,0,0,14,0,18,3,11,0,0,0,4,6,1,0,10,0,5,2,0,2,9,0,6,2,0,4,11,0,4,4,5,0,0,0,0,0,0,6,25,3,0,1,0,0,3,1,0,6,0,0,0,0,30,0,8,0,0,0,4,0,7,0,4,0,9,0,0,0,5,0,5,7,2,0,13,0,6,4,8,3,3,0
"ASV_186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"ASV_183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"ASV_77",0,0,0,0,0,0,0,22,0,0,0,0,14,0,20,1,50,4,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,17,3,1,0,7,0,0,10,2,2,2,0,12,0,0,16,12,9,1,20,3,0,0,0,0,0,0,0,0,2,0,1,10,5,9,0,0,0,0,3,0,0,31,14,3,0,0,0,11,0,0,7,0,0,14,0,5,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0
"ASV_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,1,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,11,0,1,22,0,5,12,0,0,5,0,0,0,0,0,0,0,2,0,2,0,3,20,1,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,7,6,0,0,0,0,0,0,0,0,0
"ASV_72",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,15,0,12,0,0,0,6,11,0,0,0,0,0,19,0,6,0,0,0,0,0,10,0,0,0,0,0,6,0,8,0,20,16,0,0,0,0,6,0,16,0,0,0,0,0,0,20,0,0,0,0,0,0,15,6,0,11,0,0,0,0,19,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,7,0,0,0,0,0,1,0,0,0,0
