"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,17,12,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,7,0,0,0,0,14,7,0,0,0,7,0,0,0,0,4,0,0,0,6,0,9,12,2,16,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0
"ASV_62",0,0,0,0,54,1,0,4,0,70,0,7,0,0,2,43,27,1,0,0,0,0,0,0,2,0,0,1,3,1,8,20,12,0,0,0,0,14,16,7,2,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,5,0,8,5,0,0,0,0,7,0,2,1,0,0,11,12,1,10,17,0,0,0,0,0,0,4,6,2,3,0,0,0,0,1,14,4,0,0,6,8,0,21,31,0,0,0,0,0,1,3,18,7,0,2,0,0,5,8
"ASV_27",0,34,0,0,15,21,0,17,26,33,0,0,0,11,8,40,38,12,3,0,0,4,0,0,2,0,0,44,10,6,20,33,15,0,4,0,0,27,28,40,3,6,10,0,0,19,0,2,3,0,0,6,5,6,12,16,14,2,8,0,2,21,0,19,3,51,4,0,2,32,0,3,5,0,3,43,15,8,23,46,20,0,0,0,0,0,105,27,29,21,0,0,10,0,2,1,5,0,0,2,13,0,6,27,21,0,0,0,0,11,3,42,1,5,12,0,0,11,3
"ASV_144",5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,4,6,0,0,12,0,3,0,3,4,6,0,0,0,0,7,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,4,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0
"ASV_103",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,16,0,0,5,0,0,0,0,2,5,3,1,0,0,0,0,7,6,0,0,1,5,0,0,13,0,0,0,0,0,3,0,4,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,12,37,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,7,2,0,0,0,0,0,6,2,0,0,2,0,0,0,0,3,0,0,0,0,1,0,7,0,0,3,0,0,5,0
"ASV_69",26,0,0,0,7,0,0,0,0,9,0,0,0,40,2,27,9,0,1,0,0,14,21,7,9,0,0,31,6,7,0,1,0,0,0,0,0,4,0,3,0,0,3,0,0,11,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,8,17,3,0,0,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0,9,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,12,22
"ASV_90",33,55,0,0,0,0,0,0,0,1,0,0,4,5,1,2,0,0,4,0,0,9,18,0,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,4,0,0,0,0,0,12,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,6,5,6,5,0,0,8,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,7,24,0,0,0,0,27,0,0,7,0,0,4,3,1,0,0,5,8
"ASV_171",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
"ASV_101",5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,6,0,0,0,2,0,3,0,7,0,0,0,0,0,0,2,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,29,28,0,0,0,0,4,1,0,0,0,9,0,0,0,0,0,5,0,0,0,3,0,0,3,15,0,14,0,0,0,0,10,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,5,29
"ASV_58",0,0,0,0,0,20,0,0,0,16,0,0,0,0,2,3,11,0,1,0,0,50,13,0,10,0,0,0,4,1,0,1,1,0,0,0,0,4,1,0,0,9,5,5,0,10,5,4,7,0,0,3,0,26,4,0,3,0,0,0,0,0,0,0,15,5,0,0,0,19,4,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,14,15,10,5,0,0,0,13,10,10,0,0,16,18,1,0,0,17,0,0,0,0,15,4,2,3,10,14,0,0,8,14
