ASVid;Domain;Genus;Clade;Species
ASV_5626;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5644;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5645;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5653;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5661;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_5698;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_5712;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5713;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5714;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5715;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5716;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5717;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_5718;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5719;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5720;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5721;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5722;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5723;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5724;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5725;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5726;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5727;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5728;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5729;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5730;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5731;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5732;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
